Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2012,Sullivan,"5,000 - 9,999",,2957,22116,19248,80,2788,112,-684,54,2
2002, Greene ,"Under 5,000",,3248,6669,6371,2,296,12,-100,25,1
2000, Suffolk ,"100,000 - 199,999",,65527,8649048,1394911,79472,7174632,468850,464275,53,10
2002, Wyoming ,"50,000 - 59,999",,1236,67715,16729,1399,49587,2513,2373,62,7
2007, Tioga ,Total,,22818,956451,239173,12882,704396,40533,32558,55,14
2012,Oneida,"20,000 - 29,999",,13690,339381,139547,8453,191382,8554,2099,36,4
2000, New York City - Richmond ,"10,000 - 19,999",,24298,357464,226580,9107,121769,4958,114,5,3
2005, Columbia ,Total,,27571,1389592,305497,13787,1070247,67122,59634,16,12
2004, Schenectady ,"50,000 - 59,999",,4049,222127,53626,3258,165243,8775,8443,48,7
2000, New York City - Richmond ,"Under 5,000",,24367,52073,49042,1,3026,121,-451,5,1
2000, New York City - Kings ,"40,000 - 49,999",,68342,3049269,776140,54013,2219112,116594,111890,2,6
2002, New York City - Queens ,"50,000 - 59,999",,50386,2757021,664216,39391,2053414,111831,108555,4,7
2008, Orleans ,"30,000 - 39,999",,1841,63743,20915,1279,41549,2007,1515,40,5
2002, Wyoming ,"40,000 - 49,999",,1585,71065,20170,1652,49243,2398,2251,62,6
2006, Cattaraugus ,"75,000 - 99,999",,1920,164628,30402,2148,132078,7586,6733,10,9
2002, Lewis ,"30,000 - 39,999",,1210,42206,14744,1217,26245,1214,1071,29,5
2003, Saratoga ,"10,000 - 19,999",,12299,182960,112723,3414,66824,2726,-193,47,3
2000, Saratoga ,"50,000 - 59,999",,6140,336804,76602,5457,254745,13319,13120,47,7
2002, Cayuga ,"100,000 - 199,999",,921,113582,15525,1171,96886,6221,5977,11,10
2010,Albany,"50,000 - 59,999",,8425,461059,103059,4397,353602,19653,18344,7,7
2001, Columbia ,Total,,26980,1100598,271845,13872,814881,47113,42626,16,12
2001, Cattaraugus ,"20,000 - 29,999",,4679,115785,48058,3290,64436,2845,2125,10,4
2001, Fulton ,"30,000 - 39,999",,2349,81355,25822,1721,53812,2554,2487,23,5
2003, Franklin ,"20,000 - 29,999",,2623,64777,28231,1894,34652,1529,916,22,4
2010,Onondaga,"200,000 - 249,999",,1788,396046,41816,2204,352026,24130,23069,37,11
2001, Genesee ,"10,000 - 19,999",,4564,67661,41394,1523,24743,1006,50,24,3
2008, Yates ,"75,000 - 99,999",,689,59169,11369,844,46956,2693,2318,63,9
2000, Columbia ,"30,000 - 39,999",,2751,95621,30018,1816,63788,3051,2831,16,5
2003, New York City - Richmond ,"75,000 - 99,999",,18030,1556763,323150,20442,1213171,70615,67274,5,9
2006, Chemung ,Total,,37016,1528696,376552,19538,1132609,66157,54491,13,12
1999, NYS Unclassified + ,"20,000 - 29,999",,438,10846,4458,244,6144,274,232,65,4
2010,Rensselaer,"250,000 - 499,999",,430,141077,10765,491,129821,9522,8772,44,12
2008, Monroe ,"75,000 - 99,999",,26204,2269428,439052,27204,1803172,104600,97452,32,9
2004, Wyoming ,"75,000 - 99,999",,1102,93781,16810,1318,75652,4337,4125,62,9
2001, Tompkins ,"5,000 - 9,999",,3368,24921,20959,58,3904,156,-213,56,2
1999, Yates ,"10,000 - 19,999",,1963,29198,18777,876,9546,387,8,63,3
2011,Lewis,"100,000 - 199,999",,513,64747,8532,658,55557,3594,3323,29,10
1999, Essex ,"100,000 - 199,999",,368,47753,5924,352,41477,2701,2631,21,10
2002, New York City - Richmond ,"30,000 - 39,999",,18977,662792,224274,12180,426337,20936,19324,5,5
2007, Schuyler ,"200,000 - 249,999",,29,6459,626,24,5808,398,382,50,11
1999, Washington ,"40,000 - 49,999",,2121,94744,25987,2188,66569,3222,2979,59,6
1999, New York City - Kings ,"10,000 - 19,999",,184347,2705940,1810392,113452,782096,31669,-18724,2,3
2003, Residence Unknown ++ ,"75,000 - 99,999",,618,53080,10032,412,42636,2545,2428,66,9
2010,Ontario,"10,000 - 19,999",,7431,110302,68071,2359,39872,1626,-1152,38,3
2003, Chenango ,"50,000 - 59,999",,1234,67606,16883,1323,49400,2517,2381,14,7
2001, Delaware ,"10,000 - 19,999",,3775,55673,36559,1443,17672,717,-187,18,3
2004, Chenango ,"50,000 - 59,999",,1267,69406,17554,1322,50531,2583,2453,14,7
2011,Chemung,"30,000 - 39,999",,3362,116771,37026,1898,77847,3826,2807,13,5
2002, Chemung ,"100,000 - 199,999",,1337,172720,23842,1666,147213,9572,9195,13,10
2004, Essex ,"Under 5,000",,2974,5733,5412,0,321,13,-107,21,1
2008, Herkimer ,"50,000 - 59,999",,1644,90211,22963,1439,65809,3426,2997,27,7
2006, Westchester ,"10,000 - 19,999",,49756,734391,469316,18340,246734,10090,-8942,61,3
2001, New York City - Kings ,"10,000 - 19,999",,191073,2788390,1887313,113392,787664,31894,-44283,2,3
2011,"Grand Total, Full-Year Resident","10,000 - 19,999",,1338661,19770156,12736381,616292,6417482,261275,-436834,67,3
2003, Madison ,"200,000 and over",,298,110115,7967,351,101796,7702,7151,31,11
2002, Yates ,"200,000 and over",,52,17224,981,45,16199,1110,1077,63,11
2006, Onondaga ,"30,000 - 39,999",,19054,661787,206447,11121,444219,21979,17944,37,5
2003, Columbia ,Total,,27220,1141523,283852,14021,843657,50806,45012,16,12
2010,New York City - Bronx,"30,000 - 39,999",,66511,2311912,720839,65145,1525928,74420,41482,1,5
2000, Saratoga ,"10,000 - 19,999",,12976,192931,115538,3969,73425,2994,1007,47,3
2007, Dutchess ,"10,000 - 19,999",,15602,230694,142679,4030,83984,3437,-1052,19,3
2009,Steuben,"20,000 - 29,999",,5067,125166,54721,3483,66961,2975,514,52,4
2003, Niagara ,"60,000 - 74,999",,6718,450901,95701,7403,347796,18975,18640,35,8
2009,Saratoga,"40,000 - 49,999",,7198,322873,87303,3903,231667,12193,10939,47,6
2002, Ulster ,"50,000 - 59,999",,4604,252268,61328,4013,186927,9842,9561,57,7
2011,Saratoga,"50,000 - 59,999",,6043,331396,78722,3503,249171,13604,12520,47,7
2012,Otsego,"40,000 - 49,999",,1852,82794,22438,1106,59249,2990,2594,42,6
2006, Schoharie ,"75,000 - 99,999",,965,83296,15707,1020,66568,3835,3514,49,9
2005, Montgomery ,"75,000 - 99,999",,1236,106136,19657,1272,85207,4905,4729,33,9
2002, Delaware ,"200,000 and over",,111,47371,2610,93,44668,3060,2838,18,11
2002, Franklin ,"60,000 - 74,999",,1133,75887,16066,1334,58488,3155,3089,22,8
2004, Herkimer ,"10,000 - 19,999",,4902,73148,46458,1926,24764,1007,-656,27,3
2003, New York City - Queens ,"100,000 - 199,999",,38509,4981246,740701,41135,4199413,277128,269569,4,10
2000, Lewis ,"50,000 - 59,999",,711,38867,9159,894,28815,1453,1397,29,7
2010,Rensselaer,"Under 5,000",,10708,-11291,17306,1,959,38,-715,44,1
2006, Orange ,"40,000 - 49,999",,10906,488572,148438,7931,332188,17271,14479,39,6
2000, Jefferson ,"40,000 - 49,999",,3034,135740,36414,2958,96369,4718,4575,28,6
2011,Residence Unknown ++,"5,000 - 9,999",,553,4178,3698,9,470,19,-84,66,2
2010,Tompkins,"75,000 - 99,999",,2942,254103,47472,2467,204164,11904,11144,56,9
2002, Saratoga ,"40,000 - 49,999",,7421,332923,88190,5232,239501,12290,12020,47,6
2011,Onondaga,"5,000 - 9,999",,19276,142934,119333,588,23012,921,-3445,37,2
2002, Schuyler ,"50,000 - 59,999",,466,25574,6386,476,18712,947,916,50,7
2005, Steuben ,"100,000 - 199,999",,1749,227084,31206,2111,193659,12700,12359,52,10
2005, Oneida ,"Under 5,000",,16744,33102,31293,1,1778,71,-1450,36,1
2010,Genesee,"50,000 - 59,999",,1602,88080,21384,1292,65405,3448,3025,24,7
2007, Clinton ,"20,000 - 29,999",,4571,113120,47079,2325,63716,2854,1397,15,4
2003, New York City - Kings ,"100,000 - 199,999",,31822,4177293,625195,34090,3518006,233688,226209,2,10
2007, Niagara ,"40,000 - 49,999",,7038,315288,85825,4720,224743,11537,10153,35,6
2006, Yates ,"40,000 - 49,999",,812,36346,10726,739,24881,1232,968,63,6
2012,Ontario,"Under 5,000",,8025,-12611,12755,0,900,36,-616,38,1
2011,Tompkins,"30,000 - 39,999",,4047,140022,42397,1616,96008,4827,4054,56,5
2012,Schoharie,"30,000 - 39,999",,1279,44529,14515,776,29238,1399,1018,49,5
1999, Oswego ,"40,000 - 49,999",,4017,180088,47832,3980,128276,6297,6234,41,6
2011,Cattaraugus,"20,000 - 29,999",,4282,105871,45063,2647,58161,2596,636,10,4
2001, Schenectady ,"10,000 - 19,999",,10831,160759,99463,3827,57469,2340,153,48,3
2007, Allegany ,"250,000 - 499,999",,53,16962,1103,52,15807,1083,1049,8,12
2006, Schenectady ,"30,000 - 39,999",,7187,249826,78919,3781,167126,8289,6782,48,5
2011,Seneca,"30,000 - 39,999",,1478,51391,16589,995,33807,1649,1149,51,5
2004, Otsego ,"60,000 - 74,999",,1501,100723,22327,1554,76842,4164,4022,42,8
2012,Schuyler,"20,000 - 29,999",,981,24225,10241,520,13464,601,135,50,4
2008, New York City - Queens ,"30,000 - 39,999",,102995,3585447,1231147,73361,2280940,111573,81865,4,5
2000, Jefferson ,"50,000 - 59,999",,2140,117084,27218,2328,87538,4455,4369,28,7
2009,Warren,"50,000 - 59,999",,1775,97275,24919,1288,71069,3766,3388,58,7
2010,Oneida,"50,000 - 59,999",,5526,303112,71386,4038,227688,12204,11049,36,7
1999, Fulton ,Total,,22949,704502,210740,12437,481326,25970,23902,23,12
2010,Wayne,"5,000 - 9,999",,3916,29128,23895,70,5163,207,-535,60,2
2001, Essex ,"30,000 - 39,999",,1664,57694,18762,1154,37778,1787,1657,21,5
2007, Wayne ,"50,000 - 59,999",,2744,150317,37870,2405,110043,5740,5003,60,7
1999, Cattaraugus ,"20,000 - 29,999",,4712,117112,48287,3470,65355,2874,2313,10,4
2003, Oneida ,"Under 5,000",,17535,34618,32823,0,1794,72,-962,36,1
2003, Dutchess ,"30,000 - 39,999",,11010,383617,123566,6461,253590,12502,11561,19,5
2012,Wayne,"250,000 - 499,999",,185,60569,3861,179,56529,3818,3562,60,12
2009,Clinton,"Under 5,000",,5639,-8775,9385,0,499,20,-493,15,1
2012,Jefferson,"250,000 - 499,999",,206,69994,4263,199,65531,4433,3978,28,12
2011,Cayuga,"5,000 - 9,999",,3212,23913,20174,57,3682,147,-563,11,2
2003, Wyoming ,Total,,17063,566123,167639,9870,388614,20972,17888,62,12
2009,Lewis,Total,,10085,361891,102945,5720,263514,14995,11411,29,14
2009,Suffolk,"50,000 - 59,999",,39915,2187129,650088,26024,1511017,82228,75206,53,7
2006, Otsego ,"10,000 - 19,999",,4372,65674,41582,1357,22735,927,-549,42,3
1999, Chemung ,"Under 5,000",,6026,13947,13196,0,751,30,-144,13,1
2009,Lewis,"40,000 - 49,999",,866,38854,11226,763,26866,1341,1076,29,6
2004, Monroe ,"60,000 - 74,999",,22708,1526513,332152,22643,1171718,64519,63161,32,8
2008, Schoharie ,"10,000 - 19,999",,1856,27499,17988,563,8947,364,-363,49,3
2008, New York City - Richmond ,"500,000 and over",,815,957677,29308,1000,927369,63525,53818,5,13
2008, Jefferson ,"10,000 - 19,999",,7104,106261,67114,2813,36335,1479,-1517,28,3
2006, Schoharie ,"200,000 and over",,92,46002,2371,80,43551,2983,2731,49,11
2002, Ontario ,"20,000 - 29,999",,5619,139539,57546,3068,78925,3526,2689,38,4
2010,New York City - Bronx,"100,000 - 199,999",,17849,2298124,348769,17910,1931445,126537,121456,1,10
2005, Herkimer ,"5,000 - 9,999",,2784,20655,17499,32,3100,124,-428,27,2
2003, Schenectady ,"200,000 and over",,852,389876,20431,1034,368410,27990,26654,48,11
2011,Sullivan,"50,000 - 59,999",,1838,100925,25627,1364,73934,3991,3561,54,7
2008, Essex ,"10,000 - 19,999",,2530,37722,24233,697,12793,521,-356,21,3
2007, Lewis ,Total,,11030,403916,113875,6421,283621,15711,11785,29,14
2011,Schenectady,"50,000 - 59,999",,4160,228209,53482,2528,172198,9449,8681,48,7
2004, St. Lawrence ,"Under 5,000",,6995,13366,12728,0,637,26,-488,46,1
2009,Seneca,"Under 5,000",,2541,-3603,4160,0,205,8,-285,51,1
2012,Tioga,"500,000 and over",,38,59644,1155,31,58458,4598,4783,55,13
2002, Clinton ,"30,000 - 39,999",,3308,115202,36659,2245,76297,3674,3459,15,5
2004, Schenectady ,"60,000 - 74,999",,4719,317030,68096,4431,244503,13476,13177,48,8
1999,"Grand Total, Full-Year Resident","Under 5,000",,1067000,2440241,2310530,94,129840,5198,-27952,67,1
2011,Allegany,"Under 5,000",,3186,-328,5110,0,257,10,-257,8,1
2001, Seneca ,"50,000 - 59,999",,887,48693,11624,1016,36053,1828,1749,51,7
2000, Seneca ,"200,000 and over",,75,79925,6292,61,73572,5040,4970,51,11
2011,Wayne,"200,000 - 249,999",,205,45326,4198,236,40892,2803,2667,60,11
2005, St. Lawrence ,"5,000 - 9,999",,4429,32842,28343,73,4403,176,-710,46,2
2005, Herkimer ,"10,000 - 19,999",,4782,71014,45233,1843,23909,972,-690,27,3
2006, Albany ,"60,000 - 74,999",,9556,642063,137372,7192,497499,28027,26096,7,8
2006, Columbia ,"30,000 - 39,999",,2808,97562,32315,1644,63603,3114,2397,16,5
2000, Westchester ,"Under 5,000",,56282,122406,113516,3,8879,355,-658,61,1
2012,Broome,"200,000 - 249,999",,586,129883,12545,583,116754,7772,7590,9,11
2004, Suffolk ,"75,000 - 99,999",,62755,5443653,1307172,72920,4063561,233954,230353,53,9
2001, Nassau ,Total,,640076,47447501,8415631,375899,38655698,2453770,2354853,34,12
1999, Monroe ,"30,000 - 39,999",,31522,1096915,319671,17480,759764,37512,36915,32,5
2002, Putnam ,"200,000 and over",,1352,540689,42921,1746,496022,33977,31291,43,11
2004, Wyoming ,"40,000 - 49,999",,1485,66665,18947,1450,46268,2290,2106,62,6
2001, Orleans ,"20,000 - 29,999",,2423,59749,24965,1808,32976,1448,1062,40,4
2005, Livingston ,"5,000 - 9,999",,2565,19020,15929,30,3031,121,-292,30,2
2007, New York City - Manhattan ,"5,000 - 9,999",,71229,537655,487362,2736,47563,1903,-21675,3,2
2005, Albany ,"40,000 - 49,999",,10364,463254,117265,5566,340423,18084,17107,7,6
2008, Allegany ,"30,000 - 39,999",,1858,64760,21641,1370,41749,2010,1479,8,5
2003, Tompkins ,"60,000 - 74,999",,2354,158344,33806,2166,122372,6730,6563,56,8
2002, New York City - Bronx ,"100,000 - 199,999",,8990,1144919,170287,9849,964782,62780,60940,1,10
1999, Orleans ,"20,000 - 29,999",,2433,59858,24555,1779,33525,1477,1206,40,4
2007,"Grand Total, Full-Year Resident","500,000 and over",,97686,235601538,8224671,107716,226528347,15517158,14488267,67,13
2000, Westchester ,"10,000 - 19,999",,54840,808878,496441,19974,292463,11950,1975,61,3
2010,Albany,"100,000 - 199,999",,14335,1909029,284982,15902,1608145,105527,101867,7,10
2001, Delaware ,"100,000 - 199,999",,471,60188,7772,459,51957,3379,3264,18,10
2007, Steuben ,"200,000 - 249,999",,236,52698,5333,260,47106,3227,3068,52,11
2010,Ontario,"40,000 - 49,999",,3600,161299,44300,2217,114782,5925,5200,38,6
2007, Fulton ,"100,000 - 199,999",,1085,138289,20783,1129,116377,7535,7237,23,10
2004, Onondaga ,"40,000 - 49,999",,14685,657624,175210,10525,471897,24357,23309,37,6
2006, Schenectady ,"100,000 - 199,999",,5551,716563,107772,6396,602396,39180,37448,48,10
2011,Schenectady,"75,000 - 99,999",,5813,504871,94984,5160,404727,23638,22233,48,9
2006, Essex ,"200,000 and over",,189,124809,7554,185,117070,8019,5978,21,11
2000, Broome ,"200,000 and over",,949,430260,20788,1050,408421,27977,27046,9,11
2004, Columbia ,"200,000 and over",,518,299167,17307,336,281521,21315,19499,16,11
2012,Monroe,"10,000 - 19,999",,51288,759013,460166,19863,278984,11379,-11942,32,3
2004,"Grand Total, Full-Year Resident","200,000 and over",,230838,168222927,8819425,251650,159152086,12109720,11299366,67,11
1999, Ulster ,"75,000 - 99,999",,4450,381281,65561,4950,310770,17997,17753,57,9
2002, Allegany ,"200,000 and over",,65,25409,1161,74,24174,1656,1450,8,11
2001, Rockland ,"200,000 and over",,4819,2128690,150427,6704,1971556,135051,116815,45,11
2009,Cortland,"100,000 - 199,999",,1226,156412,22780,1449,132182,8565,8120,17,10
2004, Orange ,"200,000 and over",,2823,1426852,87292,3581,1335979,100942,79120,39,11
2007, Allegany ,"60,000 - 74,999",,1330,89082,19781,1482,67819,3674,3157,8,8
2004, Schenectady ,"Under 5,000",,10719,21859,20649,0,1209,48,-368,48,1
2004, NYS Unclassified + ,"Under 5,000",,474,1017,961,0,56,2,-5,65,1
2008, Jefferson ,"200,000 - 249,999",,125,27706,2737,141,24828,1701,1638,28,11
2003, Cattaraugus ,"75,000 - 99,999",,1580,134502,23914,1934,108654,6226,5919,10,9
2008, Cattaraugus ,"500,000 and over",,47,58373,2333,50,55990,3835,3182,10,13
2002, New York City - Bronx ,"200,000 and over",,1300,642985,42941,1349,598716,41012,38593,1,11
2006, Tioga ,"60,000 - 74,999",,1572,105371,23513,1635,80223,4343,3634,55,8
2007, Broome ,"50,000 - 59,999",,5126,280831,67434,3830,209567,11145,9984,9,7
2002, Oswego ,"50,000 - 59,999",,3219,176525,43003,3385,130136,6677,6567,41,7
1999, Onondaga ,"10,000 - 19,999",,33542,498168,301733,13399,183035,7450,1548,37,3
2000, Tompkins ,"60,000 - 74,999",,2442,163427,32141,2332,128954,7104,6993,56,8
1999, Yates ,"Under 5,000",,1605,3594,3391,0,202,8,-65,63,1
2004, Tioga ,"200,000 and over",,126,57297,2464,141,54686,4130,3262,55,11
2007, Niagara ,"30,000 - 39,999",,9564,332218,104842,5459,221916,10924,9063,35,5
2007, Cortland ,"5,000 - 9,999",,1996,14679,12327,38,2313,93,-298,17,2
2003, Hamilton ,"30,000 - 39,999",,261,9034,3107,148,5779,271,260,26,5
2009,Tompkins,"200,000 - 249,999",,440,97273,10664,411,86198,5908,5605,56,11
2006, Steuben ,"200,000 and over",,652,424194,20895,775,402524,27573,26615,52,11
2007, Franklin ,"200,000 - 249,999",,40,8901,1086,43,7772,532,524,22,11
2001, Rockland ,"30,000 - 39,999",,11216,391585,127071,6312,258201,12798,11702,45,5
1999, Niagara ,"40,000 - 49,999",,7312,328151,86310,7166,234675,11583,11469,35,6
2005, Seneca ,"Under 5,000",,2561,4845,4568,0,278,11,-164,51,1
2004, Warren ,"20,000 - 29,999",,4089,100901,42442,2210,56249,2512,1766,58,4
2011,Schoharie,Total,,11941,464189,125950,5793,346359,20570,17136,49,14
2011,Montgomery,"Under 5,000",,3901,-6628,6183,0,250,10,-526,33,1
2007, Franklin ,"500,000 and over",,25,29593,847,25,28722,1967,1945,22,13
2003, NYS Unclassified + ,"200,000 and over",,44,20117,1252,39,18827,1429,1396,65,11
2005, Livingston ,"20,000 - 29,999",,3202,79600,33450,1724,44404,1984,1203,30,4
2006, Seneca ,"200,000 and over",,92,45812,2308,66,43438,2975,2694,51,11
2010,Niagara,"200,000 - 249,999",,336,73985,7855,413,65717,4503,4323,35,11
2004, Clinton ,Total,,33170,1221020,325228,17658,878134,49874,43519,15,12
2009,Tompkins,"30,000 - 39,999",,3924,136564,42734,1899,91931,4581,3693,56,5
2011,Residence Unknown ++,"50,000 - 59,999",,197,10722,2530,100,8092,457,402,66,7
2007, Cayuga ,"500,000 and over",,70,81670,2626,74,78970,5409,4175,11,13
2004, Lewis ,"50,000 - 59,999",,714,39113,9917,785,28411,1444,1331,29,7
2001, Orange ,Total,,139641,6755343,1577652,94678,5083003,299765,265876,39,12
2006, Onondaga ,"40,000 - 49,999",,14916,668812,178007,9796,481009,25046,22013,37,6
2005, Herkimer ,"200,000 and over",,133,81401,3128,138,78135,5886,5166,27,11
2010,Genesee,"250,000 - 499,999",,87,29224,2352,74,26798,1974,1726,24,12
2010,Putnam,"30,000 - 39,999",,3106,108457,39743,1465,67250,3342,2577,43,5
2005, Fulton ,"5,000 - 9,999",,2453,18189,15860,33,2282,91,-413,23,2
2009,Delaware,"10,000 - 19,999",,3124,46186,30617,1097,14472,588,-723,18,3
2006, Orange ,"Under 5,000",,19392,39449,36609,0,2869,115,-947,39,1
2011,Schoharie,"50,000 - 59,999",,704,38577,9593,535,28449,1515,1336,49,7
2003, Steuben ,"60,000 - 74,999",,2511,168204,36568,2727,128909,6967,6724,52,8
2011,Westchester,"100,000 - 199,999",,59646,8308768,1639254,59191,6610323,438371,404736,61,10
2009,Onondaga,"Under 5,000",,31557,-42865,55020,0,3184,127,-2547,37,1
2004, Suffolk ,"Under 5,000",,90412,169931,159326,2,10617,425,-1926,53,1
2003, Putnam ,"100,000 - 199,999",,6997,929181,165596,9061,754497,49817,46402,43,10
2003, Genesee ,Total,,26427,890111,254437,15218,620457,34093,30412,24,12
2002, Lewis ,"100,000 - 199,999",,177,21766,2868,219,18679,1199,1152,29,10
2011,Monroe,"Under 5,000",,53889,-70237,87968,0,5611,225,-3840,32,1
2007, Cayuga ,"Under 5,000",,5231,10687,10018,0,670,27,-436,11,1
2002, Cortland ,"200,000 and over",,103,34093,2132,143,31818,2180,1844,17,11
2002, Cattaraugus ,"40,000 - 49,999",,2574,115166,32449,2503,80215,3930,3691,10,6
2000, St. Lawrence ,"50,000 - 59,999",,2493,136413,31183,2717,102513,5263,5141,46,7
1999, Livingston ,"40,000 - 49,999",,2340,104887,27794,2259,74834,3685,3595,30,6
2000, Dutchess ,"200,000 and over",,2345,1222845,61973,2513,1158358,79347,76676,19,11
1999, Otsego ,"5,000 - 9,999",,2939,21845,19088,40,2717,109,-208,42,2
2008, Madison ,"5,000 - 9,999",,2640,19387,16012,43,3332,133,-377,31,2
2002, Warren ,"40,000 - 49,999",,2177,97452,27432,1775,68245,3403,3322,58,6
2001, Tompkins ,"30,000 - 39,999",,3608,125594,38278,1941,85375,4177,4021,56,5
2004, Broome ,"30,000 - 39,999",,8162,284118,91611,5329,187178,9055,8492,9,5
2008, Sullivan ,"250,000 - 499,999",,197,65543,5463,134,59946,4106,3770,54,12
2008, Greene ,"10,000 - 19,999",,3232,47393,30557,954,15882,648,-440,25,3
2000, Essex ,"60,000 - 74,999",,875,58391,11663,911,45816,2489,2409,21,8
1999, Ulster ,"60,000 - 74,999",,4966,332091,67490,5382,259218,14178,14002,57,8
2009,New York City - Manhattan,"10,000 - 19,999",,98674,1454083,929855,44287,479941,19514,-31096,3,3
2007, Westchester ,"5,000 - 9,999",,33779,250148,201543,307,48297,1932,-4000,61,2
2006, Livingston ,"Under 5,000",,4147,7844,7345,0,498,20,-403,30,1
2007, Herkimer ,"200,000 - 249,999",,54,11932,1204,52,10676,731,690,27,11
2011,"Grand Total, Full-Year Resident","250,000 - 499,999",,149794,50581463,4402898,160601,46017964,3405516,3203865,67,12
2006, Steuben ,"100,000 - 199,999",,1979,255788,35715,2302,217771,14167,13494,52,10
2005, Otsego ,"50,000 - 59,999",,1453,79499,20231,1319,57948,2994,2841,42,7
2012,Fulton,"5,000 - 9,999",,2234,16606,14502,32,2072,83,-457,23,2
2006, Franklin ,"200,000 and over",,112,48622,3491,113,45018,3084,2723,22,11
2001, Chemung ,"20,000 - 29,999",,4774,118512,47835,2842,67834,3015,2454,13,4
2000, Hamilton ,"40,000 - 49,999",,193,8673,2350,164,6159,297,292,26,6
2002, Warren ,"200,000 and over",,396,201266,11707,401,189158,12957,12372,58,11
2009,Oneida,"5,000 - 9,999",,10086,74611,63621,238,10753,430,-1878,36,2
2012,Cortland,"40,000 - 49,999",,1604,71830,19085,1043,51702,2626,2237,17,6
1999, Chemung ,"10,000 - 19,999",,6863,101044,63531,2839,34674,1408,177,13,3
2011,Fulton,"5,000 - 9,999",,2168,16314,14314,33,1967,79,-444,23,2
2004, Albany ,"Under 5,000",,21041,41303,39005,0,2299,92,-761,7,1
2003, Rensselaer ,"75,000 - 99,999",,5269,453290,81930,6031,365330,21057,20410,44,9
2007, New York City - Kings ,"60,000 - 74,999",,58223,3898557,829508,43576,3025483,174883,163359,2,8
2012,New York City - Kings,"10,000 - 19,999",,204225,3017748,2043322,119815,854611,34684,-111297,2,3
2000, Genesee ,"Under 5,000",,4316,10045,9354,0,691,28,-152,24,1
2001, Chautauqua ,"200,000 and over",,287,129610,6589,340,122630,8400,7795,12,11
2000, Onondaga ,"Under 5,000",,30235,70457,65788,2,4665,187,-819,37,1
2007, Schenectady ,"200,000 - 249,999",,448,99311,11040,480,87790,6014,5825,48,11
2009,"Grand Total, Full-Year Resident","50,000 - 59,999",,493064,27004255,6708610,328696,19966949,1096892,991028,67,7
2004, Clinton ,"5,000 - 9,999",,3479,25844,21539,54,4252,170,-382,15,2
1999, Warren ,"20,000 - 29,999",,3751,92378,37810,2131,52437,2318,2031,58,4
1999, New York City - Manhattan ,"10,000 - 19,999",,117260,1722720,1084519,56650,581551,23638,-3525,3,3
2002, Greene ,"5,000 - 9,999",,2143,15792,13776,15,2001,80,-220,25,2
2004, Delaware ,"100,000 - 199,999",,620,80271,11100,590,68581,4514,4367,18,10
2005, Saratoga ,"20,000 - 29,999",,10690,265867,109281,4790,151767,6848,4920,47,4
2012,Delaware,"100,000 - 199,999",,1026,130978,18364,1011,111603,6928,6494,18,10
2011,Franklin,"40,000 - 49,999",,1476,66055,17525,1034,47496,2450,2059,22,6
2012,Lewis,"200,000 - 249,999",,37,8095,669,44,7383,492,465,29,11
2001, New York City - Bronx ,"5,000 - 9,999",,70139,533779,505667,1951,26154,1047,-28543,1,2
2011,St. Lawrence,"200,000 - 249,999",,145,32025,2838,130,29057,1991,1812,46,11
2008, Tompkins ,"200,000 - 249,999",,454,100233,10507,444,89282,6116,5847,56,11
2002, Tompkins ,"Under 5,000",,5313,10939,10299,0,640,26,-199,56,1
2007, Putnam ,"60,000 - 74,999",,3436,231024,66290,2600,162134,9050,7877,43,8
2006, Onondaga ,"20,000 - 29,999",,25477,632336,256548,14510,361278,16231,7302,37,4
2006, Chenango ,"40,000 - 49,999",,1740,77732,21773,1436,54523,2743,2337,14,6
2002, Jefferson ,"200,000 and over",,233,85556,5066,296,80194,5493,5151,28,11
2003, Cayuga ,"200,000 and over",,186,77116,4370,203,72543,5505,4794,11,11
2004, Putnam ,"40,000 - 49,999",,3121,140339,42553,1877,95909,5019,4610,43,6
2010,Fulton,"30,000 - 39,999",,2492,86270,27370,1694,57206,2794,2090,23,5
2011,Orleans,Total,,17944,654534,175203,9628,474256,27038,20978,40,14
2008, Ulster ,"500,000 and over",,253,334663,12935,171,321558,22027,20468,57,13
2001, Chenango ,Total,,21154,654817,197775,12361,444681,23914,20826,14,12
2010,Erie,"60,000 - 74,999",,27212,1827741,381138,22278,1424325,79633,73808,20,8
2002, Steuben ,"60,000 - 74,999",,2554,171007,36110,2830,132067,7144,6969,52,8
2002, New York City - Manhattan ,"75,000 - 99,999",,45278,3903819,623379,13274,3267163,200744,194283,3,9
2006, Suffolk ,"10,000 - 19,999",,85831,1272189,808451,25441,438294,17916,-10876,53,3
2007, New York City - Queens ,"10,000 - 19,999",,164477,2429354,1655998,78677,694678,28203,-59189,4,3
2011,Hamilton,"200,000 - 249,999",d/,,,,,,,,26,11
2006, Steuben ,"Under 5,000",,6641,12806,12148,0,658,26,-680,52,1
2003,"Grand Total, Full-Year Resident",Total,,8026346,422172247,90823268,4562869,326786531,21059801,18947008,67,12
2011,Allegany,Total,,18197,663809,181055,10268,478181,27797,21063,8,14
